Brand,Model,Year,Status,Mileage,Dealer,Price,Age,PriceRange,Yearly_Miles
honda,odyssey,2022,certified,19984.0,Russell & Smith Honda,41415.0,2,$40000-49999,9992.0
toyota,highlander,2019,used,78644.0,Ottos Auto World,31218.0,5,$30000-39999,15728.8
ford,f-150,2020,used,35430.0,Ottos Auto World,32649.0,4,$30000-39999,8857.5
ford,explorer,2022,used,18514.0,Big Star Ford,40800.0,2,$40000-49999,9257.0
chevrolet,corvette,2023,used,1480.0,Big Star Ford,96400.0,1,$90000-99999,1480.0
jeep,wrangler,2018,used,68259.0,Southfork Chrysler Dodge Jeep Ram,26700.0,6,$20000-29999,11376.5
honda,cr-v,2020,used,6792.0,Southfork Chrysler Dodge Jeep Ram,30990.0,4,$30000-39999,1698.0
jeep,grand cherokee,2023,new,0.0,Southfork Chrysler Dodge Jeep Ram,70805.0,1,$70000-79999,0.0
mercedes,c-class,2010,used,166500.0,DDM Cars,7990.0,14,$0-9999,11892.86
mazda,cx-9,2024,new,0.0,Joe Myers Mazda,55445.0,0,$50000-59999,
mazda,cx-9,2024,new,0.0,Joe Myers Mazda,59620.0,0,$50000-59999,
mazda,cx-5,2023,new,0.0,Joe Myers Mazda,41195.0,1,$40000-49999,0.0
mazda,mazda3,2024,new,0.0,Joe Myers Mazda,31425.0,0,$30000-39999,
mazda,cl,2023,new,0.0,Joe Myers Mazda,37395.0,1,$30000-39999,0.0
ford,f-350,2022,used,2526.0,Joe Myers Ford,59971.0,2,$50000-59999,1263.0
ford,f-250,2021,used,121600.0,Joe Myers Ford,44997.0,3,$40000-49999,40533.33
bmw,x4,2021,used,33091.0,Joe Myers Ford,47971.0,3,$40000-49999,11030.33
jeep,wrangler,2008,used,18474.0,Unique Auto Group,23995.0,16,$20000-29999,1154.62
honda,civic,2016,used,76064.0,Unique Auto Group,17995.0,8,$10000-19999,9508.0
gmc,sierra,2024,new,0.0,Beck & Masten Buick GMC North,96860.0,0,$90000-99999,
gmc,canyon,2023,new,0.0,Beck & Masten Buick GMC North,57374.0,1,$50000-59999,0.0
ford,f-150,2019,certified,93444.0,Mac Haik Ford,34089.0,5,$30000-39999,18688.8
mercedes,6,2018,used,19870.0,Mac Haik Ford,47998.0,6,$40000-49999,3311.67
jeep,wrangler,2003,used,159568.0,Dynamic Motorsports Of Texas,9949.0,21,$0-9999,7598.48
jeep,wrangler,2005,used,148274.0,Dynamic Motorsports Of Texas,12995.0,19,$10000-19999,7803.89
jeep,wrangler,2004,used,139595.0,Dynamic Motorsports Of Texas,14695.0,20,$10000-19999,6979.75
jeep,wrangler,1999,used,172995.0,Dynamic Motorsports Of Texas,8995.0,25,$0-9999,6919.8
jeep,wrangler,2004,used,145200.0,Dynamic Motorsports Of Texas,14995.0,20,$10000-19999,7260.0
bmw,3,2015,used,83969.0,John Eagle Honda of Houston,12500.0,9,$10000-19999,9329.89
chevrolet,suburban,2015,used,116282.0,John Eagle Honda of Houston,23500.0,9,$20000-29999,12920.22
ford,fiesta,2019,used,84932.0,John Eagle Honda of Houston,10000.0,5,$10000-19999,16986.4
chevrolet,trax,2024,new,0.0,Lone Star Chevrolet,26540.0,0,$20000-29999,
chevrolet,silverado,2023,new,0.0,Lone Star Chevrolet,64390.0,1,$60000-69999,0.0
chevrolet,silverado,2024,new,0.0,Lone Star Chevrolet,65976.0,0,$60000-69999,
ford,gt,2017,used,13881.0,Lone Star Chevrolet,67997.0,7,$60000-69999,1983.0
chevrolet,silverado,2024,new,0.0,Lone Star Chevrolet,65385.0,0,$60000-69999,
ford,f-150,2021,used,43151.0,Joe Myers Toyota,43497.0,3,$40000-49999,14383.67
toyota,tacoma,2023,new,0.0,Huntsville Toyota,49261.0,1,$40000-49999,0.0
toyota,tundra,2023,new,0.0,Sterling McCall Toyota,67105.0,1,$60000-69999,0.0
toyota,tundra,2023,new,0.0,Sterling McCall Toyota,65045.0,1,$60000-69999,0.0
toyota,tundra,2023,new,0.0,Sterling McCall Toyota,59942.0,1,$50000-59999,0.0
toyota,tundra,2017,used,71925.0,Sterling McCall Toyota,32729.0,7,$30000-39999,10275.0
mercedes,roadster,2003,used,70075.0,AUTOTROPHIES,18995.0,21,$10000-19999,3336.9
volkswagen,atlas,2021,used,15305.0,West Point Lincoln,32991.0,3,$30000-39999,5101.67
mazda,cx-5,2023,new,0.0,Greenway Mazda,38227.0,1,$30000-39999,0.0
mazda,mx-5 miata,2023,new,0.0,Greenway Mazda,32950.0,1,$30000-39999,0.0
mazda,mazda3,2023,new,0.0,Greenway Mazda,23703.0,1,$20000-29999,0.0
mazda,mazda3,2024,new,0.0,Greenway Mazda,32110.0,0,$30000-39999,
mazda,cx-5,2023,new,0.0,Greenway Mazda,36703.0,1,$30000-39999,0.0
mazda,cx-5,2023,new,0.0,Greenway Mazda,41643.0,1,$40000-49999,0.0
bmw,xd,2014,used,94110.0,Sterling McCall Lexus,13295.0,10,$10000-19999,9411.0
toyota,highlander,2019,used,39063.0,Sterling McCall Lexus,27495.0,5,$20000-29999,7812.6
hyundai,tucson,2017,used,84375.0,Sterling McCall Lexus,16995.0,7,$10000-19999,12053.57
lexus,rx,2015,used,95005.0,Sterling McCall Lexus,19295.0,9,$10000-19999,10556.11
lexus,es,2018,used,98637.0,Sterling McCall Lexus,22074.0,6,$20000-29999,16439.5
mercedes,e-class,2013,used,105967.0,Sterling McCall Lexus,11995.0,11,$10000-19999,9633.36
lexus,lc,2023,new,0.0,Sterling McCall Lexus,113970.0,1,$110000-119999,0.0
ford,bronco,2021,used,13260.0,Don McGill Toyota of Houston,48928.0,3,$40000-49999,4420.0
toyota,land cruiser,2021,used,41490.0,Don McGill Toyota of Houston,82556.0,3,$80000-89999,13830.0
